"","Nome científico","n_reg","sem_data"
"1","Abramites hypselonotus",53,9
"2","Acacia angustissima",1,1
"3","Acacia auriculiformis",60,14
"4","Acacia holosericea",7,4
"5","Acacia longifolia",148,52
"6","Acacia mangium",228,80
"7","Acacia mearnsii",201,76
"8","Acacia podalyriifolia",216,35
"9","Acestrorhynchus pantaneiro",134,9
"10","Adenanthera pavonina",213,35
"11","Aedes aegypti",6532,1300
"12","Aedes albopictus",3683,211
"13","Agave americana",176,5
"14","Agave sisalana",41,14
"15","Ageneiosus inermis",188,5
"16","Albizia lebbeck",279,48
"17","Amazona aestiva",5824,25
"18","Ammi majus",30,6
"19","Amphibalanus amphitrite",62,21
"20","Amphibalanus reticulatus",13,10
"21","Andropogon gayanus",160,19
"22","Anolis porcatus",6,4
"23","Anolis sagrei",1,1
"24","Anthidium manicatum",100,18
"25","Aphyocharax anisitsi",153,5
"26","Aphyocharax dentatus",125,10
"27","Apis mellifera",2143,827
"28","Apistogramma commbrae",68,2
"29","Apteronotus albifrons",81,5
"30","Arapaima gigas",82,7
"31","Archontophoenix cunninghamiana",56,29
"32","Ardisia crenata",31,3
"33","Aristida adscensionis",347,171
"34","Artocarpus altilis",95,17
"35","Artocarpus heterophyllus",495,104
"36","Arundo donax",88,24
"37","Ascidia sydneiensis",15,6
"38","Asparagus aethiopicus",63,3
"39","Asparagus densiflorus",31,7
"40","Asparagus setaceus",270,26
"41","Astronotus crassipinnis",61,16
"42","Astronotus ocellatus",317,209
"43","Astyanax lacustris",486,4
"44","Asystasia gangetica",171,8
"45","Auchenipterus osteomystax",37,8
"46","Axis axis",94,30
"47","Azadirachta indica",540,337
"48","Bambusa vulgaris",131,40
"49","Betta splendens",5,4
"50","Blackfordia virginica",2,2
"51","Boccardiella bihamata",3,1
"52","Bostrichobranchus digonas",2,1
"53","Brachylaena discolor",8,3
"54","Branchiomma luctuosum",21,7
"55","Briareum hamrum",1,1
"56","Brillantaisia lamium",42,12
"57","Brotogeris chiriri",10815,7
"58","Brotogeris tirica",8281,19
"59","Brycon hilarii",91,8
"60","Bryconamericus exodon",110,2
"61","Bubalus bubalis",450,54
"62","Bubulcus ibis",11131,27
"63","Butis koilomatodon",13,6
"64","Cakile maritima",6,2
"65","Callithrix geoffroyi",160,21
"66","Callithrix jacchus",1050,141
"67","Callithrix jacchus x C. penicillata x C. aurita",9,9
"68","Callithrix jacchus x Callithrix penicillata",152,9
"69","Callithrix penicillata",1145,112
"70","Callithrix penicillata x Callithrix aurita",1,1
"71","Calotropis gigantea",7,4
"72","Calotropis procera",692,146
"73","Cancer pagurus",2,2
"74","Canis familiaris",7238,110
"75","Capra hircus",345,7
"76","Carassius auratus",4,3
"77","Carijoa riisei",25,2
"78","Carpobrotus acinaciformis",12,3
"79","Carpobrotus edulis",35,2
"80","Caryota urens",48,27
"81","Cassiopea andromeda",5,1
"82","Casuarina equisetifolia",308,93
"83","Catathyridium jenynsii",28,5
"84","Caulerpa scalpelliformis",47,6
"85","Cenchrus ciliaris",595,320
"86","Cenchrus clandestinus",49,14
"87","Cenchrus echinatus",724,50
"88","Cenchrus purpureus",367,68
"89","Centella asiatica",471,51
"90","Ceratium furcoides",34,2
"91","Charax stenopterus",54,3
"92","Charybdis hellerii",52,18
"93","Christella dentata",1056,62
"94","Chromonephthea braziliensis",4,2
"95","Cichla kelberi",461,295
"96","Cichla monoculus",259,51
"97","Cichla piquiti",73,16
"98","Cichlasoma dimerus",122,3
"99","Cinnamomum burmanni",5,5
"100","Cinnamomum verum",432,47
"101","Ciona intestinalis",6,4
"102","Cirsium vulgare",242,15
"103","Citrus limon",208,58
"104","Clarias gariepinus",141,77
"105","Clavularia viridis",1,1
"106","Clitoria fairchildiana",75,75
"107","Colocasia esculenta",195,4
"108","Colossoma macropomum",357,264
"109","Columba livia",12997,230
"110","Coptodon rendalli",218,73
"111","Corbicula fluminea",248,127
"112","Corbicula largillierti",39,32
"113","Cordyline fruticosa",129,11
"114","Cordylophora caspia",16,3
"115","Cortaderia selloana",3,3
"116","Corvus albus",3,3
"117","Corymbia torelliana",26,6
"118","Cotoneaster franchetii",23,6
"119","Crocosmia crocosmiiflora",289,32
"120","Cryptostegia grandiflora",187,37
"121","Cryptostegia madagascariensis",35,2
"122","Ctenopharyngodon idella",52,46
"123","Cupressus lusitanica",162,26
"124","Cynodon dactylon",647,76
"125","Cynodon plectostachyus",22,3
"126","Cynopotamus kincaidi",18,1
"127","Cyperus rotundus",559,53
"128","Cyprinus carpio",361,333
"129","Cytisus scoparius",14,7
"130","Daphnia lumholtzi",2,2
"131","Deparia petersenii",380,26
"132","Diadumene lineata",8,6
"133","Didemnum perlucidum",24,9
"134","Dieffenbachia amoena",22,14
"135","Dieffenbachia seguine",2621,8
"136","Dracaena fragrans",98,41
"137","Echinochloa crus-galli",317,37
"138","Eisenia fetida",3,3
"139","Elaeis guineensis",345,129
"140","Eleutherodactylus johnstonei",10,3
"141","Elodea canadensis",4,0
"142","Epipremnum aureum",123,10
"143","Equus caballus",72,6
"144","Eragrostis plana",153,38
"145","Erythrinus erythrinus",431,22
"146","Erythropodium caribaeorum",1,0
"147","Estrilda astrild",5833,105
"148","Eualetes tulipa",6,5
"149","Eucalyptus robusta",123,18
"150","Euphorbia tirucalli",158,15
"151","Euterpe oleracea",10,10
"152","Falcataria falcata",13,2
"153","Felis catus",1534,58
"154","Ficus microcarpa",197,51
"155","Furcraea foetida",101,35
"156","Furcraea selloa",2,1
"157","Gaillardia pulchella",16,1
"158","Geophagus sveni",13,1
"159","Grevillea banksii",138,24
"160","Gymnocorymbus ternetzi",89,1
"161","Gymnorhamphichthys hypostomus",55,9
"162","Gymnotus inaequilabiatus",111,9
"163","Gymnotus pantanal",46,7
"164","Gymnotus paraguensis",29,3
"165","Gymnotus sylvius",214,8
"166","Hedychium coccineum",56,12
"167","Hedychium coronarium",838,139
"168","Hedychium gardnerianum",22,7
"169","Helostoma temminkii",1,1
"170","Hemidactylus mabouia",1002,105
"171","Hemiodus orthonops",33,9
"172","Heterotilapia buttikoferi",1,1
"173","Hevea brasiliensis",1457,29
"174","Hippobroma longiflora",653,31
"175","Hoplerythrinus unitaeniatus",419,14
"176","Hoplias intermedius",33,6
"177","Hoplias lacerdae",90,20
"178","Hoplosternum littorale",427,25
"179","Hovenia dulcis",583,270
"180","Hura crepitans",1,1
"181","Hyblaea puera",7,6
"182","Hydrilla verticillata",11,2
"183","Hydroides elegans",4,2
"184","Hyparrhenia rufa",656,54
"185","Hyphessobrycon eques",309,12
"186","Hyphessobrycon flammeus",12,2
"187","Hypophthalmichthys molitrix",17,15
"188","Hypophthalmichthys nobilis",24,20
"189","Hypsoblennius invemar",12,5
"190","Ictalurus punctatus",23,18
"191","Impatiens walleriana",1991,95
"192","Iris domestica",58,5
"193","Isognomon bicolor",225,32
"194","Jatropha curcas",272,14
"195","Kalanchoe delagoensis",64,10
"196","Kalanchoe fedtschenkoi",25,7
"197","Kalanchoe pinnata",60,8
"198","Kellicottia bostoniensis",18,14
"199","Kerodon rupestris",157,3
"200","Laetacara araguaiae",47,7
"201","Latissimia ningalooensis",2,2
"202","Laurencia caduciramulosa",21,1
"203","Leiosolenus aristatus",46,15
"204","Leontopithecus chrysomelas",89,3
"205","Lepidodactylus lugubris",21,0
"206","Lepomis gibbosus",2,2
"207","Leporinus friderici",679,28
"208","Leporinus obtusidens",121,1
"209","Leporinus octofasciatus",87,14
"210","Leporinus piavussu",20,1
"211","Lepthoplosternum pectorale",60,2
"212","Leptodactylus labyrinthicus",369,12
"213","Lepus europaeus",1538,140
"214","Leucaena leucocephala",1167,310
"215","Licornia diadema",15,6
"216","Ligustrum japonicum",94,26
"217","Ligustrum lucidum",301,142
"218","Ligustrum sinense",72,14
"219","Ligustrum vulgare",25,7
"220","Limnoperna fortunei",17,8
"221","Liolaemus lutzae",29,1
"222","Lissachatina fulica",149,122
"223","Lithobates catesbeianus",91,3
"224","Livistona chinensis",70,40
"225","Lonicera japonica",311,52
"226","Lophiosilurus alexandri",28,3
"227","Loricariichthys platymetopon",83,9
"228","Loricariichthys rostratus",25,2
"229","Macrobrachium rosenbergii",37,32
"230","Macropodus opercularis",2,2
"231","Macrothelypteris torresiana",1035,81
"232","Magallana gigas",6,2
"233","Magnolia champaca",223,52
"234","Mangifera indica",856,218
"235","Megabalanus coccopoma",107,43
"236","Megaleporinus macrocephalus",14,3
"237","Megathyrsus maximus",845,95
"238","Melanoides tuberculata",202,186
"239","Melia azedarach",953,153
"240","Melinis minutiflora",863,167
"241","Melinis repens",1498,205
"242","Membraniporopsis tubigera",19,9
"243","Mesocyclops ogunnus",8,7
"244","Metapenaeus monocerus",2,2
"245","Metynnis lippincottianus",149,15
"246","Micropterus salmoides",55,38
"247","Mikrogeophagus altispinosus",2,1
"248","Mimosa caesalpiniifolia",27,27
"249","Mimusops balata",9,2
"250","Misgurnus anguillicaudatus",8,4
"251","Molineria capitulata",31,4
"252","Momordica charantia",1629,117
"253","Morus alba",112,20
"254","Morus nigra",432,114
"255","Murraya paniculata",265,78
"256","Mus musculus",569,190
"257","Musa balbisiana",21,10
"258","Musa ornata",50,10
"259","Myiopsitta monachus",3748,10
"260","Myocastor coypus",270,7
"261","Mytilopsis sallei",8,5
"262","Mytilus galloprovincialis",8,7
"263","Nandayus nenday",695,3
"264","Nannostomus beckfordi",131,2
"265","Nassarius foveolatus",6,6
"266","Nephrolepis cordifolia",260,18
"267","Neustanthus phaseoloides",133,27
"268","Nicotiana glauca",678,193
"269","Nymphaea maculata",193,10
"270","Nymphoides indica",1015,67
"271","Odontesthes bonariensis",42,13
"272","Oeceoclades maculata",1153,54
"273","Omobranchus punctatus",16,7
"274","Oncorhynchus mykiss",44,28
"275","Ophiactis savignyi",142,1
"276","Ophiopogon japonicus",18,10
"277","Ophiothela mirabilis",51,22
"278","Opsanus beta",19,2
"279","Opuntia ficus-indica",509,38
"280","Oreochromis macrochir",41,41
"281","Oreochromis mossambicus",35,34
"282","Oreochromis niloticus",723,327
"283","Ossancora eigenmanni",55,5
"284","Pachira aquatica",69,69
"285","Pachyurus bonariensis",41,21
"286","Pangasianodon hypophthalmus",1,0
"287","Pantherophis guttatus",1,1
"288","Parachromis managuensis",16,12
"289","Paracyclopina longifurca",2,2
"290","Paralaoma servilis",5,5
"291","Parkinsonia aculeata",594,109
"292","Parotocinclus maculicauda",232,6
"293","Paspalum maritimum",6,6
"294","Passer domesticus",20435,937
"295","Pelvicachromis pulcher",1,1
"296","Penaeus monodon",5,5
"297","Penaeus vannamei",75,75
"298","Perna viridis",2,2
"299","Phalloceros caudimaculatus",430,20
"300","Phallotorynus victoriae",2,2
"301","Pheidole megacephala",26,8
"302","Phoenix roebelenii",30,3
"303","Phyllodytes luteolus",118,6
"304","Phyllopodopsyllus setouchiensis",1,1
"305","Phyllorhiza punctata",5,3
"306","Phyllostachys aurea",95,21
"307","Physella acuta",68,65
"308","Piaractus mesopotamicus",99,19
"309","Piaractus mesopotamicus x Colossoma macropomum",5,5
"310","Pilea cadierei",735,7
"311","Pilumnoides perlatus",1,1
"312","Pimelodus ornatus",136,9
"313","Pinus caribaea",52,14
"314","Pinus elliottii",257,170
"315","Pinus glabra",9,1
"316","Pinus maximinoi",2,1
"317","Pinus oocarpa",18,1
"318","Pinus taeda",427,103
"319","Pithecellobium dulce",177,17
"320","Pittosporum undulatum",259,54
"321","Plagioscion squamosissimus",513,74
"322","Platydoras armatulus",103,3
"323","Pleopis schmackeri",17,2
"324","Podocoryna loyola",1,1
"325","Poecilia reticulata",1028,68
"326","Poecilia sphenops",11,2
"327","Polybius navigator",1,1
"328","Polydora cornuta",23,4
"329","Polydora nuchalis",15,5
"330","Potamotrygon falkneri",33,13
"331","Potentilla indica",32,12
"332","Procambarus clarkii",17,5
"333","Prochilodus lineatus",263,20
"334","Prosopis juliflora",510,330
"335","Prosopis pallida",129,36
"336","Pseudodiaptomus trihamatus",11,11
"337","Pseudoplatystoma corruscans",119,7
"338","Pseudoplatystoma corruscans x P. reticulatum",11,11
"339","Pseudoplatystoma reticulatum",11,5
"340","Pseudopolydora achaeta",1,1
"341","Pseudopolydora antennata",6,3
"342","Pseudopolydora diopatra",1,1
"343","Pseudopolydora paucibranchiata",1,1
"344","Psidium guajava",2032,240
"345","Pteris vittata",402,32
"346","Pterodoras granulosus",154,4
"347","Pterois volitans",3,3
"348","Pterygoplichthys ambrosettii",48,5
"349","Pygocentrus nattereri",424,31
"350","Pyromaia tuberculata",9,2
"351","Pyropia suborbiculata",5,2
"352","Pyrrhura coerulescens",1,1
"353","Rapana venosa",2,2
"354","Rattus norvegicus",485,182
"355","Rattus rattus",446,31
"356","Rhamphichthys hahni",25,3
"357","Rhaphiolepis loquata",1811,141
"358","Rhinella jimi",199,3
"359","Rhithropanopeus harrisii",16,14
"360","Ricinus communis",1219,314
"361","Robinia pseudoacacia",66,11
"362","Roeboides descalvadensis",61,2
"363","Roystonea oleracea",74,53
"364","Rubus fruticosus",17,3
"365","Rubus niveus",60,3
"366","Rubus rosifolius",798,58
"367","Rubus ulmifolius",16,2
"368","Saccostrea cucullata",15,15
"369","Saimiri sciureus",34,4
"370","Salix x rubens",8,6
"371","Salminus brasiliensis",178,38
"372","Salvator merianae",828,24
"373","Sansevieria trifasciata",125,35
"374","Satanoperca pappaterra",77,4
"375","Schefflera actinophylla",60,25
"376","Schefflera arboricola",74,20
"377","Schizolobium parahyba",7,7
"378","Schizoporella errata",43,7
"379","Scinax x-signatus",449,9
"380","Scylla serrata",2,2
"381","Selaginella kraussiana",58,5
"382","Senecio madagascariensis",108,4
"383","Serrasalmus maculatus",264,6
"384","Serrasalmus marginatus",111,5
"385","Serrasalmus spilopleura",184,17
"386","Sesbania virgata",1,1
"387","Sidneioides peregrinus",1,1
"388","Silurus glanis",2,2
"389","Sorubim lima",187,20
"390","Spathodea campanulata",313,90
"391","Sphaeroma serratum",2,2
"392","Steindachnerina brevipinna",132,14
"393","Striatobalanus amaryllis",9,8
"394","Sturnus vulgaris",6,1
"395","Styela plicata",42,14
"396","Sus scrofa",3419,267
"397","Swietenia macrophylla",8,8
"398","Syngonium angustatum",46,9
"399","Syngonium podophyllum",1,1
"400","Syzygium aromaticum",70,6
"401","Syzygium cumini",838,180
"402","Syzygium jambos",606,71
"403","Syzygium malaccense",192,59
"404","Taliepus dentatus",2,2
"405","Tecoma stans",1025,486
"406","Temora turbinata",33,15
"407","Terminalia catappa",700,200
"408","Tetragonia tetragonoides",80,11
"409","Tetrapanax papyrifer",67,3
"410","Thespesia populnea",63,14
"411","Thunbergia alata",967,49
"412","Thunbergia grandiflora",167,13
"413","Tithonia diversifolia",365,36
"414","Trachelyopterus galeatus",313,18
"415","Trachelyopterus lucenai",52,17
"416","Trachemys dorbigni",132,19
"417","Trachemys scripta",134,65
"418","Trachydoras paraguayensis",34,4
"419","Tradescantia fluminensis",1,1
"420","Tradescantia zebrina",2669,81
"421","Trichopodus trichopterus",13,6
"422","Trichopsis vittata",1,1
"423","Triportheus angulatus",219,14
"424","Triportheus nematurus",98,12
"425","Triportheus signatus",77,2
"426","Tubastraea coccinea",77,40
"427","Tubastraea tagusensis",75,34
"428","Ulex europaeus",189,49
"429","Urena lobata",1043,115
"430","Urochloa arrecta",144,20
"431","Urochloa brizantha",375,72
"432","Urochloa dictyoneura",320,231
"433","Urochloa distachya",5,0
"434","Urochloa eminii",526,270
"435","Urochloa mutica",205,18
"436","Urochloa plantaginea",337,14
"437","Urochloa subquadripara",48,45
"438","Urochloa trichopus",2,2
"439","Watersipora subtorquata",6,3
"440","Xenopus laevis",3,1
"441","Xiphophorus hellerii",24,0
"442","Xiphophorus maculatus",13,1
"443","Xiphophorus variatus",6,3
"444","Zaprionus indianus",70,25
"445","Zoobotryon verticillatum",26,2
